#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 17:29:58
#	Delay: 3 s
#	End: 0.5 V
#	Frequency: 1133 Hz
#	sample: D_2 2omega R_2omega-V_t Vb = 4V
#	scan: vt
#	Start: 0 V
#	Step: 0.01 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.0,-4.0,2.077,4.54027e-06,-166.745,1.60521e-08,123.294
6.1,0.01,-4.0,2.077,1.1417e-05,-166.262,1.90433e-08,-31.636
9.1,0.02,-4.0,2.078,2.28406e-05,-166.177,2.87785e-08,-70.56
12.1,0.03,-4.0,2.078,3.4318e-05,-166.019,4.48289e-08,-114.47
15.1,0.04,-4.0,2.077,4.55709e-05,-166.571,7.30629e-09,14.22
18.2,0.05,-4.0,2.077,5.68925e-05,-166.583,1.51334e-07,-115.297
21.2,0.06,-4.0,2.078,6.86509e-05,-166.652,1.16478e-07,-149.655
24.2,0.07,-4.0,2.077,8.00255e-05,-166.632,1.85666e-07,-131.907
27.3,0.08,-4.0,2.077,9.13314e-05,-166.633,2.61539e-07,-118.556
30.3,0.09,-4.0,2.078,0.000103148,-166.646,3.6039e-07,-120.396
33.3,0.1,-4.0,2.078,0.000114515,-166.637,3.99926e-07,-120.411
36.3,0.11,-4.0,2.078,0.0001263,-166.707,5.3796e-07,-128.042
39.3,0.12,-4.0,2.077,0.000137633,-166.672,5.77203e-07,-128.344
42.4,0.13,-4.0,2.078,0.000148965,-166.647,7.32704e-07,-125.374
45.4,0.14,-4.0,2.078,0.000160786,-166.646,8.16819e-07,-128.131
48.4,0.15,-4.0,2.078,0.000172153,-166.645,9.07935e-07,-128.773
51.5,0.16,-4.0,2.078,0.000183475,-166.658,1.06617e-06,-127.267
54.5,0.17,-4.0,2.077,0.000195312,-166.653,1.19512e-06,-126.363
57.5,0.18,-4.0,2.077,0.00020668,-166.647,1.32154e-06,-126.163
60.5,0.19,-4.0,2.078,0.000218568,-166.643,1.49101e-06,-125.641
63.6,0.2,-4.0,2.077,0.000229911,-166.637,1.63871e-06,-127.356
66.6,0.21,-4.0,2.078,0.000241251,-166.648,1.79574e-06,-127.182
69.6,0.22,-4.0,2.078,0.000253111,-166.658,1.95135e-06,-127.407
72.6,0.23,-4.0,2.078,0.000264448,-166.646,2.17581e-06,-126.828
75.7,0.24,-4.0,2.078,0.000275809,-166.649,2.33165e-06,-126.673
78.7,0.25,-4.0,2.078,0.000287688,-166.653,2.53675e-06,-126.824
81.7,0.26,-4.0,2.077,0.000299035,-166.643,2.73717e-06,-127.298
84.7,0.27,-4.0,2.077,0.000310917,-166.636,3.01469e-06,-126.687
87.8,0.28,-4.0,2.078,0.000322305,-166.64,3.20026e-06,-126.769
90.8,0.29,-4.0,2.078,0.000333692,-166.625,3.42798e-06,-126.587
93.8,0.3,-4.0,2.078,0.000345514,-166.627,3.70352e-06,-126.973
96.8,0.31,-4.0,2.077,0.000356909,-166.627,3.87367e-06,-127.042
99.9,0.32,-4.0,2.078,0.000368279,-166.621,4.13138e-06,-127.311
102.9,0.33,-4.0,2.078,0.00038013,-166.634,4.44637e-06,-127.021
105.9,0.34,-4.0,2.077,0.000387631,-166.626,4.62105e-06,-127.179
108.9,0.35000000000000003,-4.0,2.078,0.000402867,-166.621,4.99238e-06,-127.335
112.0,0.36,-4.0,2.078,0.000414805,-166.513,5.28909e-06,-126.589
115.0,0.37,-4.0,2.078,0.000426218,-166.515,5.5865e-06,-126.785
118.0,0.38,-4.0,2.077,0.00043762,-166.508,5.87276e-06,-126.855
121.0,0.39,-4.0,2.077,0.000449555,-166.501,6.20021e-06,-126.379
124.1,0.4,-4.0,2.078,0.00046093,-166.503,6.52243e-06,-126.79
127.1,0.41000000000000003,-4.0,2.078,0.000472807,-166.497,6.86656e-06,-126.281
130.1,0.42,-4.0,2.077,0.000484178,-166.494,7.23813e-06,-126.643
133.2,0.43,-4.0,2.078,0.000495591,-166.491,7.54451e-06,-126.714
136.2,0.44,-4.0,2.078,0.000507422,-166.497,7.89846e-06,-126.587
139.2,0.45,-4.0,2.078,0.00051892,-166.495,8.28361e-06,-126.861
142.2,0.46,-4.0,2.078,0.000530338,-166.488,8.60807e-06,-126.597
145.3,0.47000000000000003,-4.0,2.078,0.000538244,-166.489,8.89077e-06,-126.984
148.3,0.48,-4.0,2.076,0.000553662,-166.482,9.4092e-06,-126.769
151.3,0.49,-4.0,2.078,0.000565064,-166.479,9.80767e-06,-126.701
154.3,0.5,-4.0,2.077,0.000576933,-166.482,1.02317e-05,-126.825
