#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 17:25:18
#	Delay: 3 s
#	End: 0.5 V
#	Frequency: 1133 Hz
#	sample: D_2 2omega R_2omega-V_t
#	scan: vt
#	Start: 0 V
#	Step: 0.01 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.0,-5.0,2.078,4.23311e-06,-166.757,2.49526e-08,-134.495
6.1,0.01,-5.0,2.078,1.0679e-05,-165.809,3.27311e-08,80.861
9.1,0.02,-5.0,2.078,2.13292e-05,-165.695,2.67272e-08,-75.84
12.1,0.03,-5.0,2.077,3.20451e-05,-165.685,1.93097e-08,95.196
15.2,0.04,-5.0,2.078,4.24952e-05,-166.365,4.02431e-08,134.498
18.2,0.05,-5.0,2.077,5.30104e-05,-166.387,7.72928e-08,-137.234
21.2,0.06,-5.0,2.079,6.4064e-05,-166.4,1.04307e-07,-100.954
24.2,0.07,-5.0,2.077,7.4595e-05,-166.384,1.49332e-07,-143.107
27.2,0.08,-5.0,2.078,8.51168e-05,-166.396,1.73177e-07,-127.557
30.3,0.09,-5.0,2.078,9.60583e-05,-166.432,2.45892e-07,-128.355
33.3,0.1,-5.0,2.077,0.000106734,-166.421,3.19634e-07,-128.484
36.3,0.11,-5.0,2.077,0.000117667,-166.455,3.9296e-07,-127.312
39.4,0.12,-5.0,2.077,0.000128192,-166.471,4.22792e-07,-128.293
42.4,0.13,-5.0,2.078,0.000138762,-166.449,5.15196e-07,-123.721
45.4,0.14,-5.0,2.078,0.000149753,-166.467,6.44519e-07,-130.268
48.4,0.15,-5.0,2.078,0.000160261,-166.455,6.81084e-07,-123.883
51.4,0.16,-5.0,2.078,0.000170861,-166.435,7.61587e-07,-125.884
54.5,0.17,-5.0,2.079,0.000181883,-166.461,8.91736e-07,-125.707
57.5,0.18,-5.0,2.078,0.000192393,-166.465,9.47574e-07,-126.473
60.5,0.19,-5.0,2.078,0.000203353,-166.443,1.11744e-06,-125.506
63.6,0.2,-5.0,2.078,0.000213927,-166.461,1.25548e-06,-126.259
66.6,0.21,-5.0,2.078,0.000224479,-166.455,1.35008e-06,-124.099
69.6,0.22,-5.0,2.077,0.000235452,-166.49,1.47503e-06,-125.843
72.6,0.23,-5.0,2.078,0.000246046,-166.476,1.55955e-06,-125.14
75.7,0.24,-5.0,2.078,0.000256569,-166.474,1.76147e-06,-124.604
78.7,0.25,-5.0,2.078,0.000267623,-166.476,1.98476e-06,-124.931
81.7,0.26,-5.0,2.077,0.00027823,-166.463,2.06073e-06,-126.177
84.7,0.27,-5.0,2.078,0.000289211,-166.462,2.2012e-06,-124.763
87.8,0.28,-5.0,2.077,0.000299741,-166.468,2.36231e-06,-125.972
90.8,0.29,-5.0,2.078,0.000310312,-166.463,2.55329e-06,-125.572
93.8,0.3,-5.0,2.077,0.000321337,-166.46,2.77284e-06,-125.329
96.8,0.31,-5.0,2.077,0.00033196,-166.474,2.92204e-06,-125.784
99.9,0.32,-5.0,2.078,0.000342417,-166.436,3.06919e-06,-123.808
102.9,0.33,-5.0,2.078,0.000353459,-166.48,3.35981e-06,-125.674
105.9,0.34,-5.0,2.077,0.000364043,-166.463,3.49524e-06,-125.05
109.0,0.35000000000000003,-5.0,2.078,0.000374617,-166.462,3.72998e-06,-126.233
112.0,0.36,-5.0,2.078,0.00038566,-166.36,3.95446e-06,-125.459
115.0,0.37,-5.0,2.078,0.000396176,-166.352,4.20771e-06,-125.459
118.0,0.38,-5.0,2.078,0.000406765,-166.355,4.43211e-06,-125.752
121.1,0.39,-5.0,2.078,0.000417878,-166.356,4.67656e-06,-125.131
124.1,0.4,-5.0,2.077,0.000428405,-166.356,4.89646e-06,-125.748
127.1,0.41000000000000003,-5.0,2.077,0.000435789,-166.355,5.00307e-06,-125.468
130.1,0.42,-5.0,2.078,0.000450022,-166.347,5.41592e-06,-125.612
133.1,0.43,-5.0,2.078,0.000460581,-166.352,5.6591e-06,-125.443
136.2,0.44,-5.0,2.077,0.000471586,-166.365,5.92084e-06,-125.444
139.2,0.45,-5.0,2.078,0.000482134,-166.356,6.19912e-06,-125.325
142.2,0.46,-5.0,2.078,0.000492728,-166.353,6.5054e-06,-125.24
145.2,0.47000000000000003,-5.0,2.079,0.00050379,-166.359,6.76847e-06,-125.676
148.3,0.48,-5.0,2.078,0.000514391,-166.354,7.00314e-06,-125.037
151.3,0.49,-5.0,2.078,0.00052499,-166.359,7.28618e-06,-125.449
154.3,0.5,-5.0,2.078,0.000536065,-166.347,7.6347e-06,-125.279
