#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:52:57
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1233 Hz
#	sample: D_2 Phi-V 1233
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.078,0.000176223,-177.344,4.2281e-06,-151.369
6.1,0.05,-0.2,2.078,0.000140358,-173.733,2.00611e-06,-136.547
9.1,0.05,-0.4,2.076,0.000120718,-172.38,1.27431e-06,-134.756
12.1,0.05,-0.6,2.076,0.000107935,-171.488,8.9627e-07,-133.603
15.2,0.05,-0.8,2.077,9.88582e-05,-170.848,6.73283e-07,-132.283
18.2,0.05,-1.0,2.077,9.18823e-05,-170.359,5.25044e-07,-128.915
21.2,0.05,-1.2,2.077,8.64308e-05,-169.987,4.24948e-07,-128.158
24.2,0.05,-1.4,2.077,8.19831e-05,-169.676,3.61781e-07,-127.942
27.2,0.05,-1.6,2.077,7.81894e-05,-169.45,2.92871e-07,-127.03
30.3,0.05,-1.8,2.078,7.50339e-05,-169.261,2.14559e-07,-123.014
33.3,0.05,-2.0,2.078,7.22693e-05,-169.067,2.07364e-07,-124.393
36.3,0.05,-2.2,2.078,6.98146e-05,-168.937,1.87434e-07,-121.559
39.4,0.05,-2.4,2.078,6.77189e-05,-168.808,1.66746e-07,-125.056
42.4,0.05,-2.6,2.079,6.57194e-05,-168.662,1.21733e-07,-120.224
45.4,0.05,-2.8,2.078,6.40411e-05,-168.575,1.41719e-07,-134.571
48.4,0.05,-3.0,2.078,6.24344e-05,-168.471,1.47096e-07,-129.103
51.5,0.05,-3.2,2.077,6.10587e-05,-168.4,1.49322e-07,-127.734
54.5,0.05,-3.4,2.077,5.96935e-05,-168.277,7.61507e-08,-106.917
57.5,0.05,-3.6,2.077,5.85078e-05,-168.26,5.74528e-08,-92.548
60.6,0.05,-3.8,2.077,5.73718e-05,-168.183,6.83603e-08,-121.702
63.6,0.05,-4.0,2.077,5.63001e-05,-168.147,3.26675e-08,-135.681
66.6,0.05,-4.2,2.078,5.53573e-05,-168.054,9.45642e-08,-98.815
69.6,0.05,-4.4,2.078,5.4453e-05,-167.992,7.90651e-08,-109.684
72.7,0.05,-4.6,2.078,5.36182e-05,-167.939,8.38008e-08,-106.132
75.7,0.05,-4.8,2.078,5.2811e-05,-167.878,6.26275e-08,-147.022
78.7,0.05,-5.0,2.077,5.2086e-05,-167.88,6.88148e-08,-139.062
81.7,0.05,-5.2,2.078,5.13482e-05,-167.769,5.13447e-08,-34.755
84.8,0.05,-5.4,2.078,5.07094e-05,-167.75,7.48737e-08,-168.514
87.8,0.05,-5.6,2.077,5.0078e-05,-167.693,5.65007e-08,-176.282
90.8,0.05,-5.8,2.078,4.9464e-05,-167.599,5.56304e-08,-131.792
93.8,0.05,-6.0,2.078,4.89327e-05,-167.611,1.59274e-08,-34.191
96.9,0.05,-6.2,2.078,4.84208e-05,-167.518,5.95171e-08,-133.553
99.9,0.05,-6.4,2.079,4.78513e-05,-167.5,7.23863e-08,-126.454
102.9,0.05,-6.6,2.078,4.73686e-05,-167.423,3.848e-08,-49.825
106.0,0.05,-6.8,2.077,4.68743e-05,-167.321,3.75251e-08,-121.308
109.0,0.05,-7.0,2.078,4.64212e-05,-167.293,6.04333e-08,-126.245
112.0,0.05,-7.2,2.078,4.60908e-05,-167.218,5.71096e-08,-120.799
115.0,0.05,-7.4,2.077,4.56171e-05,-167.158,8.07102e-08,-41.756
118.1,0.05,-7.6,2.077,4.52522e-05,-167.152,5.26377e-08,-10.33
121.1,0.05,-7.8,2.078,4.49046e-05,-167.08,1.74725e-08,-142.921
124.1,0.05,-8.0,2.077,4.45051e-05,-167.035,3.77153e-08,-101.349
127.2,0.05,-8.2,2.077,4.41102e-05,-166.982,6.27831e-09,-98.385
130.2,0.05,-8.4,2.076,4.38764e-05,-166.931,4.16993e-08,-67.486
133.2,0.05,-8.6,2.078,4.35563e-05,-166.925,5.69877e-08,-37.83
136.2,0.05,-8.8,2.078,4.32321e-05,-166.813,2.81252e-08,96.464
139.2,0.05,-9.0,2.078,4.29914e-05,-166.728,2.95244e-08,42.08
142.3,0.05,-9.2,2.076,4.26803e-05,-166.712,9.34459e-08,173.758
145.3,0.05,-9.4,2.078,4.24211e-05,-166.617,1.5502e-09,-131.263
148.3,0.05,-9.6,2.078,4.21335e-05,-166.504,1.97753e-08,80.73
151.3,0.05,-9.8,2.078,4.18988e-05,-166.58,4.36647e-08,102.353
154.4,0.05,-10.0,2.078,4.16159e-05,-166.509,1.44932e-07,-169.464
