#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:36:57
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1133 Hz
#	sample: D_2 Phi-V
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.1,0.05,0.0,2.078,0.000177104,-175.798,4.38443e-06,-149.78
6.1,0.05,-0.2,2.077,0.000140148,-171.955,2.04333e-06,-133.278
9.1,0.05,-0.4,2.078,0.000120316,-170.601,1.28602e-06,-131.482
12.1,0.05,-0.6,2.078,0.000107531,-169.738,9.0017e-07,-128.399
15.2,0.05,-0.8,2.078,9.84194e-05,-169.123,6.80537e-07,-128.905
18.2,0.05,-1.0,2.077,9.15475e-05,-168.645,5.26153e-07,-124.225
21.2,0.05,-1.2,2.078,8.60668e-05,-168.293,4.20632e-07,-126.388
24.2,0.05,-1.4,2.077,8.16171e-05,-168.008,3.37083e-07,-122.0
27.3,0.05,-1.6,2.078,7.7869e-05,-167.792,2.88336e-07,-127.64
30.3,0.05,-1.8,2.078,7.46965e-05,-167.574,2.4661e-07,-119.971
33.3,0.05,-2.0,2.077,7.19317e-05,-167.434,2.04415e-07,-120.48
36.4,0.05,-2.2,2.078,6.94989e-05,-167.26,1.59883e-07,-116.8
39.4,0.05,-2.4,2.077,6.73965e-05,-167.173,1.37481e-07,-126.172
42.4,0.05,-2.6,2.078,6.54713e-05,-167.029,1.36792e-07,-122.008
45.4,0.05,-2.8,2.078,6.37554e-05,-166.978,1.43352e-07,-111.428
48.5,0.05,-3.0,2.078,6.21286e-05,-166.881,8.74322e-08,-118.716
51.5,0.05,-3.2,2.078,6.07465e-05,-166.807,8.68047e-08,-131.201
54.5,0.05,-3.4,2.077,5.94752e-05,-166.751,9.31528e-08,-112.9
57.5,0.05,-3.6,2.077,5.82554e-05,-166.653,9.6364e-08,-120.804
60.6,0.05,-3.8,2.077,5.71463e-05,-166.639,6.42096e-08,-123.691
63.6,0.05,-4.0,2.078,5.60984e-05,-166.569,1.12299e-07,-121.627
66.6,0.05,-4.2,2.078,5.51233e-05,-166.493,5.29222e-08,-122.492
69.7,0.05,-4.4,2.078,5.41788e-05,-166.466,2.27698e-08,-77.819
72.7,0.05,-4.6,2.077,5.33922e-05,-166.402,4.69764e-08,-152.855
75.7,0.05,-4.8,2.078,5.2593e-05,-166.351,3.24821e-08,-38.993
78.7,0.05,-5.0,2.078,5.18465e-05,-166.26,3.34199e-08,-99.903
81.8,0.05,-5.2,2.078,5.11771e-05,-166.242,4.0657e-08,152.718
84.8,0.05,-5.4,2.077,5.04708e-05,-166.203,6.7155e-08,-98.549
87.8,0.05,-5.6,2.078,4.98049e-05,-166.136,8.88666e-08,-112.425
90.9,0.05,-5.8,2.076,4.92462e-05,-166.117,8.0035e-08,-156.308
93.9,0.05,-6.0,2.078,4.86803e-05,-166.05,4.25963e-08,-117.112
96.9,0.05,-6.2,2.078,4.81501e-05,-166.038,1.99677e-08,159.565
99.9,0.05,-6.4,2.078,4.76916e-05,-166.008,5.24376e-08,-58.469
102.9,0.05,-6.6,2.079,4.71034e-05,-165.974,9.25267e-08,-135.139
106.0,0.05,-6.8,2.077,4.67136e-05,-165.901,4.58082e-08,-152.453
109.0,0.05,-7.0,2.076,4.62591e-05,-165.784,7.99033e-08,-37.698
112.0,0.05,-7.2,2.078,4.58342e-05,-165.689,8.84895e-08,-148.907
115.1,0.05,-7.4,2.077,4.54361e-05,-165.742,1.21182e-07,-115.019
118.1,0.05,-7.6,2.078,4.50692e-05,-165.665,1.73372e-08,-27.029
121.1,0.05,-7.8,2.078,4.4695e-05,-165.492,1.99024e-08,111.709
124.1,0.05,-8.0,2.078,4.43411e-05,-165.46,6.87247e-08,129.563
127.2,0.05,-8.2,2.078,4.40397e-05,-165.526,3.4259e-08,-69.507
130.2,0.05,-8.4,2.077,4.36534e-05,-165.444,1.5501e-08,-66.22
133.2,0.05,-8.6,2.078,4.33432e-05,-165.359,5.34519e-08,-141.326
136.2,0.05,-8.8,2.078,4.30302e-05,-165.373,2.09547e-08,-129.602
139.3,0.05,-9.0,2.078,4.2764e-05,-165.356,1.10928e-07,144.054
142.3,0.05,-9.2,2.077,4.25396e-05,-165.259,3.52659e-08,-65.134
145.3,0.05,-9.4,2.077,4.22193e-05,-165.24,5.07723e-08,-173.099
148.4,0.05,-9.6,2.076,4.20183e-05,-165.195,6.07892e-08,-80.354
151.4,0.05,-9.8,2.077,4.16139e-05,-164.987,5.01092e-08,-19.416
154.4,0.05,-10.0,2.076,4.14723e-05,-164.99,1.14545e-07,-109.249
