#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 16:18:04
#	Delay: 3 s
#	End: -10 V
#	Frequency: 1133 Hz
#	sample: D_3 C-V
#	scan: Vb
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
3.0,0.05,0.0,2.078,0.000110159,-168.685,3.42505e-06,-130.376
6.1,0.05,-0.2,2.076,8.59818e-05,-165.931,1.45061e-06,-116.636
9.1,0.05,-0.4,2.077,7.32172e-05,-165.375,8.69184e-07,-113.253
12.1,0.05,-0.6,2.077,6.52069e-05,-165.211,5.91723e-07,-110.596
15.1,0.05,-0.8,2.077,5.94988e-05,-165.14,4.71481e-07,-111.823
18.2,0.05,-1.0,2.077,5.50836e-05,-165.17,3.59985e-07,-108.848
21.2,0.05,-1.2,2.076,5.14937e-05,-165.128,2.99428e-07,-108.591
24.2,0.05,-1.4,2.077,4.85195e-05,-165.139,2.52116e-07,-109.574
27.2,0.05,-1.6,2.077,4.60002e-05,-165.068,2.14205e-07,-112.607
30.3,0.05,-1.8,2.078,4.3915e-05,-165.009,1.68652e-07,-112.603
33.3,0.05,-2.0,2.078,4.20675e-05,-164.971,1.19032e-07,-102.907
36.3,0.05,-2.2,2.078,4.04686e-05,-164.82,1.28134e-07,-124.065
39.3,0.05,-2.4,2.077,3.90514e-05,-164.807,1.26294e-07,-99.119
42.4,0.05,-2.6,2.076,3.77948e-05,-164.698,1.2648e-07,-127.12
45.4,0.05,-2.8,2.078,3.66527e-05,-164.698,1.06016e-07,-112.326
48.4,0.05,-3.0,2.077,3.5647e-05,-164.605,9.17591e-08,-120.256
51.5,0.05,-3.2,2.078,3.47402e-05,-164.643,6.30723e-08,-116.546
54.5,0.05,-3.4,2.078,3.39099e-05,-164.523,7.56866e-08,-116.567
57.5,0.05,-3.6,2.077,3.31314e-05,-164.429,4.01571e-08,-109.262
60.5,0.05,-3.8,2.078,3.24135e-05,-164.443,3.68693e-08,-144.195
63.6,0.05,-4.0,2.078,3.17814e-05,-164.347,5.15924e-08,-132.882
66.6,0.05,-4.2,2.077,3.118e-05,-164.255,4.38843e-08,-78.194
69.6,0.05,-4.4,2.076,3.05675e-05,-164.289,5.41867e-08,-81.647
72.7,0.05,-4.6,2.078,3.01382e-05,-164.28,5.20587e-08,-146.699
75.7,0.05,-4.8,2.078,2.96589e-05,-164.173,4.14046e-08,-107.696
78.7,0.05,-5.0,2.077,2.92349e-05,-164.093,2.06476e-08,174.682
81.7,0.05,-5.2,2.078,2.87608e-05,-164.037,4.34742e-08,-99.328
84.8,0.05,-5.4,2.078,2.83762e-05,-164.022,7.32444e-08,-108.925
87.8,0.05,-5.6,2.077,2.80308e-05,-163.957,1.03696e-08,-88.152
90.8,0.05,-5.8,2.078,2.76224e-05,-163.889,7.9012e-08,-101.391
93.8,0.05,-6.0,2.078,2.73263e-05,-163.899,1.28692e-08,173.034
96.9,0.05,-6.2,2.078,2.70257e-05,-163.903,4.13265e-08,-163.589
99.9,0.05,-6.4,2.078,2.67186e-05,-163.696,9.7375e-08,155.336
102.9,0.05,-6.6,2.078,2.64714e-05,-163.674,2.52697e-08,-110.576
106.0,0.05,-6.8,2.078,2.62154e-05,-163.594,7.69617e-08,2.531
109.0,0.05,-7.0,2.077,2.60222e-05,-163.527,2.05198e-08,-68.087
112.0,0.05,-7.2,2.078,2.57873e-05,-163.698,3.62439e-08,138.297
115.0,0.05,-7.4,2.078,2.55382e-05,-163.461,7.10099e-08,-133.951
118.1,0.05,-7.6,2.077,2.53328e-05,-163.467,7.78353e-08,-29.992
121.1,0.05,-7.8,2.078,2.51372e-05,-163.387,1.19472e-07,-147.806
124.1,0.05,-8.0,2.078,2.49684e-05,-163.463,2.9977e-08,143.962
127.1,0.05,-8.2,2.077,2.47242e-05,-163.37,3.77131e-08,-130.122
130.2,0.05,-8.4,2.077,2.45703e-05,-163.334,6.60387e-08,-142.232
133.2,0.05,-8.6,2.078,2.44195e-05,-163.194,3.65331e-08,97.666
136.2,0.05,-8.8,2.078,2.42096e-05,-163.277,8.92957e-08,-0.383
139.3,0.05,-9.0,2.078,2.41433e-05,-162.97,7.87104e-08,-29.995
142.3,0.05,-9.2,2.077,2.39499e-05,-163.004,8.10781e-08,-23.615
145.3,0.05,-9.4,2.078,2.38065e-05,-162.917,3.80484e-08,-174.29
148.3,0.05,-9.6,2.078,2.37643e-05,-162.849,1.71294e-08,32.693
151.3,0.05,-9.8,2.078,2.36348e-05,-162.926,3.24917e-08,12.848
154.4,0.05,-10.0,2.078,2.33947e-05,-162.802,3.11321e-08,69.843
