vt(V),R_1w(V),R_2w(V),R2w/R1w
0.0000,4.540270e-06,1.605210e-08,3.535495e-03
0.0100,1.141700e-05,1.904330e-08,1.667978e-03
0.0200,2.284060e-05,2.877850e-08,1.259971e-03
0.0300,3.431800e-05,4.482890e-08,1.306280e-03
0.0400,4.557090e-05,7.306290e-09,1.603280e-04
0.0500,5.689250e-05,1.513340e-07,2.659999e-03
0.0600,6.865090e-05,1.164780e-07,1.696671e-03
0.0700,8.002550e-05,1.856660e-07,2.320085e-03
0.0800,9.133140e-05,2.615390e-07,2.863626e-03
0.0900,1.031480e-04,3.603900e-07,3.493912e-03
0.1000,1.145150e-04,3.999260e-07,3.492346e-03
0.1100,1.263000e-04,5.379600e-07,4.259382e-03
0.1200,1.376330e-04,5.772030e-07,4.193783e-03
0.1300,1.489650e-04,7.327040e-07,4.918632e-03
0.1400,1.607860e-04,8.168190e-07,5.080162e-03
0.1500,1.721530e-04,9.079350e-07,5.274000e-03
0.1600,1.834750e-04,1.066170e-06,5.810982e-03
0.1700,1.953120e-04,1.195120e-06,6.119030e-03
0.1800,2.066800e-04,1.321540e-06,6.394136e-03
0.1900,2.185680e-04,1.491010e-06,6.821721e-03
0.2000,2.299110e-04,1.638710e-06,7.127584e-03
0.2100,2.412510e-04,1.795740e-06,7.443451e-03
0.2200,2.531110e-04,1.951350e-06,7.709463e-03
0.2300,2.644480e-04,2.175810e-06,8.227742e-03
0.2400,2.758090e-04,2.331650e-06,8.453858e-03
0.2500,2.876880e-04,2.536750e-06,8.817712e-03
0.2600,2.990350e-04,2.737170e-06,9.153343e-03
0.2700,3.109170e-04,3.014690e-06,9.696125e-03
0.2800,3.223050e-04,3.200260e-06,9.929291e-03
0.2900,3.336920e-04,3.427980e-06,1.027289e-02
0.3000,3.455140e-04,3.703520e-06,1.071887e-02
0.3100,3.569090e-04,3.873670e-06,1.085338e-02
0.3200,3.682790e-04,4.131380e-06,1.121807e-02
0.3300,3.801300e-04,4.446370e-06,1.169697e-02
0.3400,3.876310e-04,4.621050e-06,1.192126e-02
0.3500,4.028670e-04,4.992380e-06,1.239213e-02
0.3600,4.148050e-04,5.289090e-06,1.275079e-02
0.3700,4.262180e-04,5.586500e-06,1.310714e-02
0.3800,4.376200e-04,5.872760e-06,1.341977e-02
0.3900,4.495550e-04,6.200210e-06,1.379188e-02
0.4000,4.609300e-04,6.522430e-06,1.415059e-02
0.4100,4.728070e-04,6.866560e-06,1.452297e-02
0.4200,4.841780e-04,7.238130e-06,1.494932e-02
0.4300,4.955910e-04,7.544510e-06,1.522326e-02
0.4400,5.074220e-04,7.898460e-06,1.556586e-02
0.4500,5.189200e-04,8.283610e-06,1.596317e-02
0.4600,5.303380e-04,8.608070e-06,1.623129e-02
0.4700,5.382440e-04,8.890770e-06,1.651810e-02
0.4800,5.536620e-04,9.409200e-06,1.699448e-02
0.4900,5.650640e-04,9.807670e-06,1.735674e-02
0.5000,5.769330e-04,1.023170e-05,1.773464e-02
