freq(Hz),Vb_set(V),theta(deg),C_j(pF),R_2w(V)
933,0.0000,-172.4730,146.8475,4.759810e-06
933,-0.2000,-168.2150,115.3002,2.178510e-06
933,-0.4000,-166.7630,98.1648,1.362400e-06
933,-0.6000,-165.8500,87.1694,9.602210e-07
933,-0.8000,-165.1760,79.3715,7.143040e-07
933,-1.0000,-164.6650,73.4410,5.589500e-07
933,-1.2000,-164.2720,68.8023,4.370910e-07
933,-1.4000,-163.9650,65.0172,3.613580e-07
933,-1.6000,-163.7020,61.8729,3.122110e-07
933,-1.8000,-163.5010,59.1343,2.497350e-07
933,-2.0000,-163.3410,56.8391,2.150070e-07
933,-2.2000,-163.2030,54.8130,1.761570e-07
933,-2.4000,-163.0630,52.9999,1.295640e-07
933,-2.6000,-162.9640,51.4113,1.489100e-07
933,-2.8000,-162.8700,49.9302,1.326720e-07
933,-3.0000,-162.8090,48.6277,1.129280e-07
933,-3.2000,-162.7420,47.4367,8.342660e-08
933,-3.4000,-162.6060,46.3729,9.212190e-08
933,-3.6000,-162.5930,45.3388,6.985380e-08
933,-3.8000,-162.4620,44.4110,9.251590e-08
933,-4.0000,-162.4240,43.5780,6.013930e-08
933,-4.2000,-162.3520,42.7307,4.167550e-08
933,-4.4000,-162.2920,41.9604,5.435500e-08
933,-4.6000,-162.2710,41.3345,4.455660e-08
933,-4.8000,-162.1670,40.6210,2.311100e-08
933,-5.0000,-162.0660,40.0200,1.993490e-08
933,-5.2000,-162.0510,39.3944,6.986180e-08
933,-5.4000,-161.9700,38.8432,2.820950e-08
933,-5.6000,-161.9970,38.3644,1.515130e-08
933,-5.8000,-161.9340,37.8440,5.231390e-08
933,-6.0000,-161.8900,37.4210,9.135470e-08
933,-6.2000,-161.8670,36.8714,1.880230e-08
933,-6.4000,-161.7030,36.5217,1.661740e-08
933,-6.6000,-161.6710,36.1115,3.292900e-08
933,-6.8000,-161.6730,35.7084,1.333710e-08
933,-7.0000,-161.5890,35.3068,6.306050e-08
933,-7.2000,-161.4860,34.9824,5.235000e-08
933,-7.4000,-161.5070,34.6321,6.477390e-09
933,-7.6000,-161.5300,34.3094,2.661980e-08
933,-7.8000,-161.3520,33.9922,3.111900e-08
933,-8.0000,-161.3550,33.7686,8.411670e-09
933,-8.2000,-161.2830,33.4798,4.251980e-08
933,-8.4000,-161.1740,33.2268,1.567950e-08
933,-8.6000,-161.2460,32.9306,6.607950e-08
933,-8.8000,-161.1490,32.6275,5.450760e-08
933,-9.0000,-161.0240,32.4049,2.637070e-08
933,-9.2000,-160.9000,32.1128,4.572140e-08
933,-9.4000,-160.9990,31.9470,3.269860e-08
933,-9.6000,-160.8720,31.6853,1.448360e-07
933,-9.8000,-160.7700,31.5489,8.864390e-08
933,-10.0000,-160.6960,31.3417,7.965810e-08
1033,0.0000,-174.7420,145.3013,4.500450e-06
1033,-0.2000,-170.7930,114.1221,2.077200e-06
1033,-0.4000,-169.4290,97.4420,1.304230e-06
1033,-0.6000,-168.5450,86.7307,9.183350e-07
1033,-0.8000,-167.9360,79.0999,6.882600e-07
1033,-1.0000,-167.4620,73.3026,5.345230e-07
1033,-1.2000,-167.1100,68.7744,4.120380e-07
1033,-1.4000,-166.7860,65.0290,3.324940e-07
1033,-1.6000,-166.5620,61.9266,2.924910e-07
1033,-1.8000,-166.3930,59.2871,2.389300e-07
1033,-2.0000,-166.1870,56.9946,2.004740e-07
1033,-2.2000,-166.0870,54.9675,1.726370e-07
1033,-2.4000,-165.9340,53.1975,1.554230e-07
1033,-2.6000,-165.8650,51.6312,1.156630e-07
1033,-2.8000,-165.7630,50.1648,1.243360e-07
1033,-3.0000,-165.7260,48.8533,1.316960e-07
1033,-3.2000,-165.6040,47.6575,9.467280e-08
1033,-3.4000,-165.5030,46.6003,8.549260e-08
1033,-3.6000,-165.4680,45.5836,8.363440e-08
1033,-3.8000,-165.3910,44.6529,4.612860e-08
1033,-4.0000,-165.3250,43.7933,7.407470e-08
1033,-4.2000,-165.2560,42.9817,8.933930e-08
1033,-4.4000,-165.2150,42.2692,5.133980e-08
1033,-4.6000,-165.1720,41.6066,4.192810e-08
1033,-4.8000,-165.0950,40.8407,5.618730e-08
1033,-5.0000,-165.0550,40.2934,9.755030e-08
1033,-5.2000,-165.0040,39.6643,4.004400e-08
1033,-5.4000,-164.9700,39.1314,6.247570e-08
1033,-5.6000,-164.8840,38.6354,2.752910e-08
1033,-5.8000,-164.8390,38.1092,4.078490e-08
1033,-6.0000,-164.7440,37.6748,3.506980e-08
1033,-6.2000,-164.7730,37.2310,8.967360e-08
1033,-6.4000,-164.6710,36.7739,6.173450e-08
1033,-6.6000,-164.6060,36.3772,1.005350e-08
1033,-6.8000,-164.6320,36.0294,6.020720e-09
1033,-7.0000,-164.5120,35.6291,3.281190e-08
1033,-7.2000,-164.5430,35.2766,7.473170e-08
1033,-7.4000,-164.4360,34.8943,1.835920e-08
1033,-7.6000,-164.2790,34.5872,5.459550e-08
1033,-7.8000,-164.2700,34.3113,4.492220e-08
1033,-8.0000,-164.2920,33.9955,2.526470e-08
1033,-8.2000,-164.2030,33.7158,7.983200e-08
1033,-8.4000,-164.1610,33.4623,3.799100e-08
1033,-8.6000,-164.0600,33.1761,3.451680e-08
1033,-8.8000,-163.9850,32.9654,1.061880e-07
1033,-9.0000,-163.9890,32.6682,3.213360e-08
1033,-9.2000,-163.8430,32.4952,7.237120e-08
1033,-9.4000,-163.7500,32.2109,2.608990e-08
1033,-9.6000,-163.7660,32.0367,5.271280e-08
1033,-9.8000,-163.7570,31.8253,1.058010e-07
1033,-10.0000,-163.5360,31.5715,1.004230e-07
1133,0.0000,-175.7980,144.4655,4.384430e-06
1133,-0.2000,-171.9550,113.7607,2.043330e-06
1133,-0.4000,-170.6010,97.2833,1.286020e-06
1133,-0.6000,-169.7380,86.6609,9.001700e-07
1133,-0.8000,-169.1230,79.0906,6.805370e-07
1133,-1.0000,-168.6450,73.3811,5.261530e-07
1133,-1.2000,-168.2930,68.8274,4.206320e-07
1133,-1.4000,-168.0080,65.1304,3.370830e-07
1133,-1.6000,-167.7920,62.0163,2.883360e-07
1133,-1.8000,-167.5740,59.3804,2.466100e-07
1133,-2.0000,-167.4340,57.0833,2.044150e-07
1133,-2.2000,-167.2600,55.0620,1.598830e-07
1133,-2.4000,-167.1730,53.3152,1.374810e-07
1133,-2.6000,-167.0290,51.7157,1.367920e-07
1133,-2.8000,-166.9780,50.2900,1.433520e-07
1133,-3.0000,-166.8810,48.9384,8.743220e-08
1133,-3.2000,-166.8070,47.7901,8.680470e-08
1133,-3.4000,-166.7510,46.7339,9.315280e-08
1133,-3.6000,-166.6530,45.7204,9.636400e-08
1133,-3.8000,-166.6390,44.7989,6.420960e-08
1133,-4.0000,-166.5690,43.9282,1.122990e-07
1133,-4.2000,-166.4930,43.1181,5.292220e-08
1133,-4.4000,-166.4660,42.3334,2.276980e-08
1133,-4.6000,-166.4020,41.6798,4.697640e-08
1133,-4.8000,-166.3510,41.0158,3.248210e-08
1133,-5.0000,-166.2600,40.3956,3.341990e-08
1133,-5.2000,-166.2420,39.8394,4.065700e-08
