Vb_set(V),V_R(V),C_j(pF),1/C2(pF-2),w(cm),N(w)(cm-3)
0.0000,-0.0000,143.2815,4.871017e-05,3.667747e-05,nan
-0.2000,0.2000,113.3369,7.784972e-05,4.636797e-05,3.288723e+15
-0.4000,0.4000,97.0581,1.061539e-04,5.414490e-05,3.391480e+15
-0.6000,0.6000,86.5313,1.335530e-04,6.073182e-05,3.489350e+15
-0.8000,0.8000,78.9842,1.602948e-04,6.653486e-05,3.588595e+15
-1.0000,1.0000,73.2848,1.861966e-04,7.170928e-05,3.688350e+15
-1.2000,1.2000,68.7590,2.115146e-04,7.642926e-05,3.768495e+15
-1.4000,1.4000,65.0494,2.363271e-04,8.078789e-05,3.872256e+15
-1.6000,1.6000,61.9814,2.603018e-04,8.478677e-05,3.949700e+15
-1.8000,1.8000,59.3226,2.841577e-04,8.858685e-05,3.991830e+15
-2.0000,2.0000,57.0148,3.076276e-04,9.217267e-05,4.111314e+15
-2.2000,2.2000,55.0392,3.301081e-04,9.548114e-05,4.194091e+15
-2.4000,2.4000,53.2494,3.526711e-04,9.869029e-05,4.228799e+15
-2.6000,2.6000,51.6548,3.747819e-04,1.017370e-04,4.371985e+15
-2.8000,2.8000,50.2594,3.958818e-04,1.045616e-04,4.381293e+15
-3.0000,3.0000,48.9174,4.179008e-04,1.074301e-04,4.401925e+15
-3.2000,3.2000,47.7383,4.387986e-04,1.100835e-04,4.492013e+15
-3.4000,3.4000,46.6274,4.599569e-04,1.127063e-04,4.639040e+15
-3.6000,3.6000,45.6663,4.795218e-04,1.150784e-04,4.831588e+15
-3.8000,3.8000,44.7636,4.990572e-04,1.173991e-04,4.733161e+15
-4.0000,4.0000,43.8767,5.194352e-04,1.197720e-04,4.720600e+15
-4.2000,4.2000,43.0700,5.390768e-04,1.220154e-04,4.881690e+15
-4.4000,4.4000,42.3283,5.581342e-04,1.241535e-04,5.026689e+15
-4.6000,4.6000,41.6428,5.766595e-04,1.261971e-04,5.014827e+15
-4.8000,4.8000,40.9683,5.958058e-04,1.282750e-04,4.990531e+15
-5.0000,5.0000,40.3398,6.145145e-04,1.302734e-04,5.188703e+15
-5.2000,5.2000,39.7711,6.322150e-04,1.321362e-04,5.178591e+15
-5.4000,5.4000,39.1932,6.509948e-04,1.340844e-04,5.580562e+15
-5.6000,5.6000,38.7472,6.660676e-04,1.356278e-04,5.395072e+15
-5.8000,5.8000,38.1799,6.860113e-04,1.376433e-04,5.140810e+15
-6.0000,6.0000,37.7207,7.028160e-04,1.393190e-04,5.709881e+15
-6.2000,6.2000,37.2912,7.190972e-04,1.409235e-04,5.730144e+15
-6.4000,6.4000,36.8659,7.357849e-04,1.425493e-04,5.819119e+15
-6.6000,6.6000,36.4769,7.515620e-04,1.440695e-04,5.968927e+15
-6.8000,6.8000,36.0977,7.674349e-04,1.455829e-04,5.652410e+15
-7.0000,7.0000,35.6919,7.849843e-04,1.472380e-04,5.741952e+15
-7.2000,7.2000,35.3479,8.003360e-04,1.486708e-04,6.031645e+15
-7.4000,7.4000,35.0005,8.163052e-04,1.501467e-04,6.042545e+15
-7.6000,7.6000,34.6771,8.316004e-04,1.515468e-04,7.732467e+15
-7.8000,7.8000,34.4882,8.407368e-04,1.523770e-04,7.259543e+15
-8.0000,8.0000,34.1469,8.576236e-04,1.538997e-04,6.054377e+15
-8.2000,8.2000,33.8654,8.719401e-04,1.551790e-04,6.266013e+15
-8.4000,8.4000,33.5621,8.877730e-04,1.565815e-04,6.467950e+15
-8.6000,8.6000,33.3121,9.011482e-04,1.577566e-04,6.350008e+15
-8.8000,8.8000,33.0135,9.175236e-04,1.591835e-04,7.058026e+15
-9.0000,9.0000,32.8281,9.279144e-04,1.600824e-04,7.182101e+15
-9.2000,9.2000,32.5502,9.438274e-04,1.614492e-04,7.677381e+15
-9.4000,9.4000,32.4013,9.525213e-04,1.621910e-04,6.908480e+15
-9.6000,9.6000,32.0887,9.711730e-04,1.637713e-04,6.610235e+15
-9.8000,9.8000,31.9259,9.811007e-04,1.646062e-04,8.351120e+15
-10.0000,10.0000,31.7214,9.937947e-04,1.656677e-04,nan
