Vb_set(V),R_1w(V),theta_1w(deg),C_j(pF),1/C2(pF-2),w(cm),R_2w(V)
0.0000,1.101590e-04,-168.6850,88.8444,1.266894e-04,5.915066e-05,3.425050e-06
-0.2000,8.598180e-05,-165.9310,68.7568,2.115284e-04,7.643176e-05,1.450610e-06
-0.4000,7.321720e-05,-165.3750,58.1514,2.957197e-04,9.037111e-05,8.691840e-07
-0.6000,6.520690e-05,-165.2110,51.4960,3.770966e-04,1.020507e-04,5.917230e-07
-0.8000,5.949880e-05,-165.1400,46.7535,4.574803e-04,1.124024e-04,4.714810e-07
-1.0000,5.508360e-05,-165.1700,43.0851,5.386984e-04,1.219726e-04,3.599850e-07
-1.2000,5.149370e-05,-165.1280,40.1024,6.218109e-04,1.310445e-04,2.994280e-07
-1.4000,4.851950e-05,-165.1390,37.6313,7.061561e-04,1.396497e-04,2.521160e-07
-1.6000,4.600020e-05,-165.0680,35.5382,7.917892e-04,1.478748e-04,2.142050e-07
-1.8000,4.391500e-05,-165.0090,33.8057,8.750244e-04,1.554532e-04,1.686520e-07
-2.0000,4.206750e-05,-164.9710,32.2707,9.602472e-04,1.628475e-04,1.190320e-07
-2.2000,4.046860e-05,-164.8200,30.9423,1.044470e-03,1.698390e-04,1.281340e-07
-2.4000,3.905140e-05,-164.8070,29.7648,1.128741e-03,1.765577e-04,1.262940e-07
-2.6000,3.779480e-05,-164.6980,28.7207,1.212296e-03,1.829759e-04,1.264800e-07
-2.8000,3.665270e-05,-164.6980,27.7718,1.296555e-03,1.892278e-04,1.060160e-07
-3.0000,3.564700e-05,-164.6050,26.9362,1.378243e-03,1.950978e-04,9.175910e-08
-3.2000,3.474020e-05,-164.6430,26.1828,1.458702e-03,2.007118e-04,6.307230e-08
-3.4000,3.390990e-05,-164.5230,25.4930,1.538717e-03,2.061431e-04,7.568660e-08
-3.6000,3.313140e-05,-164.4290,24.8462,1.619874e-03,2.115096e-04,4.015710e-08
-3.8000,3.241350e-05,-164.4430,24.2497,1.700541e-03,2.167121e-04,3.686930e-08
-4.0000,3.178140e-05,-164.3470,23.7245,1.776663e-03,2.215093e-04,5.159240e-08
-4.2000,3.118000e-05,-164.2550,23.2249,1.853933e-03,2.262750e-04,4.388430e-08
-4.4000,3.056750e-05,-164.2890,22.7160,1.937929e-03,2.313441e-04,5.418670e-08
-4.6000,3.013820e-05,-164.2800,22.3593,2.000251e-03,2.350346e-04,5.205870e-08
-4.8000,2.965890e-05,-164.1730,21.9610,2.073451e-03,2.392965e-04,4.140460e-08
-5.0000,2.923490e-05,-164.0930,21.6088,2.141608e-03,2.431977e-04,2.064760e-08
-5.2000,2.876080e-05,-164.0370,21.2149,2.221874e-03,2.477132e-04,4.347420e-08
-5.4000,2.837620e-05,-164.0220,20.8953,2.290350e-03,2.515014e-04,7.324440e-08
-5.6000,2.803080e-05,-163.9570,20.6083,2.354581e-03,2.550036e-04,1.036960e-08
-5.8000,2.762240e-05,-163.8890,20.2690,2.434076e-03,2.592726e-04,7.901200e-08
-6.0000,2.732630e-05,-163.8990,20.0230,2.494256e-03,2.624581e-04,1.286920e-08
-6.2000,2.702570e-05,-163.9030,19.7733,2.557663e-03,2.657732e-04,4.132650e-08
-6.4000,2.671860e-05,-163.6960,19.5181,2.624971e-03,2.692476e-04,9.737500e-08
-6.6000,2.647140e-05,-163.6740,19.3127,2.681100e-03,2.721109e-04,2.526970e-08
-6.8000,2.621540e-05,-163.5940,19.1000,2.741146e-03,2.751412e-04,7.696170e-08
-7.0000,2.602220e-05,-163.5270,18.9395,2.787807e-03,2.774731e-04,2.051980e-08
-7.2000,2.578730e-05,-163.6980,18.7443,2.846163e-03,2.803621e-04,3.624390e-08
-7.4000,2.553820e-05,-163.4610,18.5374,2.910070e-03,2.834923e-04,7.100990e-08
-7.6000,2.533280e-05,-163.4670,18.3667,2.964400e-03,2.861264e-04,7.783530e-08
-7.8000,2.513720e-05,-163.3870,18.2042,3.017564e-03,2.886807e-04,1.194720e-07
-8.0000,2.496840e-05,-163.4630,18.0640,3.064602e-03,2.909220e-04,2.997700e-08
-8.2000,2.472420e-05,-163.3700,17.8611,3.134623e-03,2.942267e-04,3.771310e-08
-8.4000,2.457030e-05,-163.3340,17.7332,3.179991e-03,2.963483e-04,6.603870e-08
-8.6000,2.441950e-05,-163.1940,17.6079,3.225407e-03,2.984570e-04,3.653310e-08
-8.8000,2.420960e-05,-163.2770,17.4335,3.290260e-03,3.014426e-04,8.929570e-08
-9.0000,2.414330e-05,-162.9700,17.3784,3.311152e-03,3.023981e-04,7.871040e-08
-9.2000,2.394990e-05,-163.0040,17.2177,3.373244e-03,3.052203e-04,8.107810e-08
-9.4000,2.380650e-05,-162.9170,17.0986,3.420417e-03,3.073470e-04,3.804840e-08
-9.6000,2.376430e-05,-162.8490,17.0635,3.434488e-03,3.079786e-04,1.712940e-08
-9.8000,2.363480e-05,-162.9260,16.9559,3.478214e-03,3.099329e-04,3.249170e-08
-10.0000,2.339470e-05,-162.8020,16.7565,3.561523e-03,3.136226e-04,3.113210e-08
