#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 1 s
#	at: 2025-05-14 15:50:07
#	Delay: 3 s
#	End: -3 V
#	Frequency: 1133 Hz
#	sample: noise_1000ms
#	scan: time
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
0.1,0.05,0.0,2.077,0.0471565,-167.184,0.000131088,-165.545
3.1,0.05,0.0,2.078,0.0471806,-167.163,8.85248e-05,-155.545
6.1,0.05,0.0,2.078,0.047195,-167.11,0.000113407,-133.387
9.2,0.05,0.0,2.077,0.0472137,-167.214,8.97825e-05,-158.363
12.2,0.05,0.0,2.077,0.0472176,-167.196,8.5368e-05,-146.686
15.2,0.05,0.0,2.077,0.0471696,-167.167,7.75476e-05,-173.208
18.3,0.05,0.0,2.078,0.0471902,-167.17,0.000100224,-176.654
21.3,0.05,0.0,2.077,0.0471843,-167.24,0.000136444,-158.856
24.3,0.05,0.0,2.079,0.0472062,-167.236,0.000127087,-155.842
27.3,0.05,0.0,2.077,0.0472045,-167.212,0.000126022,-156.269
30.3,0.05,0.0,2.078,0.0471942,-167.236,0.00011619,-170.994
33.4,0.05,0.0,2.078,0.047181,-167.267,0.000105999,-175.635
36.4,0.05,0.0,2.078,0.04718,-167.251,0.000104983,-168.585
39.4,0.05,0.0,2.077,0.0471997,-167.213,0.000106145,-158.117
42.5,0.05,0.0,2.076,0.0471932,-167.214,0.000111817,-154.003
45.5,0.05,0.0,2.079,0.0472431,-167.262,0.000126444,-168.711
48.5,0.05,0.0,2.078,0.0472551,-167.298,0.000122132,178.833
51.5,0.05,0.0,2.078,0.0472182,-167.283,0.000127305,-166.793
54.5,0.05,0.0,2.076,0.0472087,-167.289,0.000133303,-162.708
57.6,0.05,0.0,2.078,0.0472136,-167.285,0.000115058,-175.09
60.6,0.05,0.0,2.078,0.0472066,-167.279,0.000129629,-170.607
63.6,0.05,0.0,2.078,0.0472163,-167.254,0.00014517,-157.355
66.6,0.05,0.0,2.078,0.047239,-167.224,0.000173217,-164.194
69.7,0.05,0.0,2.078,0.0472126,-167.247,0.000154155,-173.738
72.7,0.05,0.0,2.078,0.0471865,-167.22,0.000120295,-169.766
