#Procedure: <__main__.CVProcedure>
#Parameters:
#	Tc: 0.1 s
#	at: 2025-05-14 15:46:11
#	Delay: 3 s
#	End: -3 V
#	Frequency: 1133 Hz
#	sample: noise_100ms
#	scan: time
#	Start: 0 V
#	Step: 0.2 V
#	Zero bias when done: True
#Data:
time(s),vt(V),Vb_set(V),Vb_meas(V),R_1ω(V),theta_1ω(deg),R_2ω(V),theta_2ω(deg)
0.1,0.05,0.0,2.078,0.0472809,-167.415,0.00014927,164.246
3.1,0.05,0.0,2.078,0.0472253,-167.253,0.00015921,-118.14
6.1,0.05,0.0,2.077,0.047259,-167.148,6.77953e-05,-156.272
9.1,0.05,0.0,2.078,0.0472112,-167.447,0.000196585,-156.226
12.2,0.05,0.0,2.078,0.047227,-167.041,0.000118739,-127.091
15.2,0.05,0.0,2.078,0.047176,-167.156,8.44396e-05,-157.462
18.2,0.05,0.0,2.077,0.0471112,-167.218,0.000134661,-146.544
21.3,0.05,0.0,2.078,0.0471011,-167.197,0.000171598,160.905
24.3,0.05,0.0,2.077,0.047166,-167.337,8.65806e-05,-178.077
27.3,0.05,0.0,2.077,0.0471809,-167.4,0.000227019,-177.409
30.3,0.05,0.0,2.078,0.0472208,-167.467,0.000144102,-166.643
33.4,0.05,0.0,2.078,0.0472068,-167.114,6.26471e-05,-148.972
36.4,0.05,0.0,2.077,0.047305,-167.339,0.00024972,-176.76
39.4,0.05,0.0,2.078,0.0471865,-167.307,5.02583e-05,-143.944
42.4,0.05,0.0,2.078,0.047219,-167.164,0.000102611,-155.871
45.5,0.05,0.0,2.078,0.0471788,-167.219,0.000152022,-175.402
48.5,0.05,0.0,2.078,0.0472178,-167.366,0.000106083,-176.225
51.5,0.05,0.0,2.078,0.0472109,-167.218,0.000170365,-124.922
54.6,0.05,0.0,2.077,0.047101,-167.31,0.000149829,175.148
57.6,0.05,0.0,2.078,0.0473186,-167.126,6.61908e-05,-132.43
60.6,0.05,0.0,2.077,0.0471588,-167.358,0.000182195,-161.294
63.6,0.05,0.0,2.078,0.0471839,-167.102,0.000254869,-157.702
66.7,0.05,0.0,2.078,0.0472479,-167.264,5.65156e-05,-138.466
69.7,0.05,0.0,2.078,0.0472304,-167.324,0.000232712,-173.931
72.7,0.05,0.0,2.076,0.047109,-167.32,6.21941e-05,177.928
